 "Daftar Anggota MPR RI Periode 2019-2024 ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"NO ","NAMA ","NOMOR ANGGOTA ","NO.KEPRES ","TEMPAT LAHIR ","TANGGAL LAHIR ","JENIS KELAMIN ","AGAMA ","PENDIDIKAN TERAKHIR ","FRAKSI ","PROVINSI ","JABATAN ","STATUS ANGGOTA ","CREATED ","UPDATED "
"19","MARWAN JAFAR ","A-19 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PATI ","1971-03-12 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:06:52 "
"20","LULUK NUR HAMIDAH, M.Si ","A-20 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JOMBANG ","1971-06-25 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:07:14 "
"21","Drs. H. MOHAMAD TOHA, M.Si. ","A-21 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SUKOHARJO ","1964-05-25 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:07:48 "
"22","LUQMAN HAKIM, S.Ag. ","A-22 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SEMARANG ","1975-04-12 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:08:07 "
"23","H. ABDUL KADIR KARDING, M.Si. ","A-23 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","DONGGALA ","1973-03-25 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:08:28 "
"24","Drs. H. TAUFIQ R ABDULLAH ","A-24 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BANJARNEGARA ","1963-04-05 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2022-06-16 04:47:36 "
"25","SITI MUKAROMAH, S.Ag, M.AP ","A-25 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BANYUMAS ","1972-02-01 ","Perempuan ","","","Fraksi Partai Kebangkitan Bangsa ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2022-06-22 09:53:03 "
"26","H. BACHRUDIN NASORI, S.Si., M.M. ","A-26 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","TEGAL ","1954-05-08 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:08:55 "
"27","Hj. NUR NADLIFAH, S.Ag., M.M. ","A-27 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PATI ","1972-08-28 ","Perempuan ","","","Fraksi Partai Kebangkitan Bangsa ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2022-06-16 15:10:28 "
"28","H. YAQUT CHOLIL QOUMAS ","AA-28-28 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","REMBANG ","1975-01-04 ","Laki-Laki ","","SLTA ","Fraksi Partai Kebangkitan Bangsa ","JAWA TENGAH ","anggota ","Tidak Aktif ","-0001-11-30 00:00:00 ","2022-12-20 05:02:23 "
