 "Daftar Anggota MPR RI Periode 2019-2024 ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"NO ","NAMA ","NOMOR ANGGOTA ","NO.KEPRES ","TEMPAT LAHIR ","TANGGAL LAHIR ","JENIS KELAMIN ","AGAMA ","PENDIDIKAN TERAKHIR ","FRAKSI ","PROVINSI ","JABATAN ","STATUS ANGGOTA ","CREATED ","UPDATED "
"184","Ir. BAMBANG WURYANTO, M.B.A. ","A-184 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SUKOHARJO ","1956-07-17 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"185","AGUSTINA WILUJENG PRAMESTUTI, S.S., M.M. ","A-185 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SEMARANG ","1971-08-11 ","Perempuan ","","","Fraksi Partai Demokrasi Indonesia Perjuangan ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2022-06-17 10:10:09 "
"186","PARYONO, S.H., M.H. ","A-186 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","KARANGANYAR ","1974-12-10 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"187","DOLFIE O.F.P. ","A-187 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","KIJANG ","1968-10-27 ","L ","KRISTEN ","SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"188","PUAN MAHARANI ","A-188 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1973-09-06 ","P ","ISLAM ","SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"189","ARIA BIMA ","A-189 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SEMARANG ","1965-05-29 ","L ","KATOLIK ","SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"190","RAHMAD HANDOYO, S.Pi., M.M. ","A-190 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SEMARANG ","1975-02-20 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"191","MUCHAMAD NABIL HAROEN, S.Pd., M.Hum ","A-191 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","TEMANGGUNG ","1984-07-25 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"192","Ir. SUDJADI ","A-192 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","YOGYAKARTA ","1943-07-27 ","L ","ISLAM ","SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"193","VITA ERVINA, S.E. ","A-193 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1980-10-22 ","P ","KRISTEN ","SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"194","Drs. UTUT ADIANTO ","A-194 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1965-03-16 ","L ","ISLAM ","SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"195","Drs. H. HERU SUDJATMOKO, M.Si. ","A-195 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PURBALINGGA ","1951-06-13 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"196","ADISATRYA SURYO SULISTO ","A-196 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1974-05-15 ","L ","ISLAM ","SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"197","H. SUNARNA, S.E., M.HUM ","A-197 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","KLATEN ","1973-09-24 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"198","PARAMITHA WIDYA KUSUMA, S.E. ","A-198 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BREBES ","1992-01-18 ","P ","ISLAM ","SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"199","Dr. Ir. MUHAMMAD PRAKOSA, Ph.D. ","AA-199 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","YOGYAKARTA ","1960-03-04 ","L ","ISLAM ","DOKTOR ","Fraksi Partai Demokrasi Indonesia Perjuangan ","JAWA TENGAH ","anggota ","Tidak Aktif ","-0001-11-30 00:00:00 ","2022-06-16 05:52:57 "
"200","Dr. DEWI ARYANI, M.Si. ","A-200 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","MAGELANG ","1973-01-16 ","P ","ISLAM ","DOKTOR ","Fraksi Partai Demokrasi Indonesia Perjuangan ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"201","Prof. Dr. HENDRAWAN SUPRATIKNO ","A-201 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SIDAREJA ","1960-04-21 ","Laki-Laki ","","","Fraksi Partai Demokrasi Indonesia Perjuangan ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2021-06-21 10:48:54 "
"202","DEDE INDRA PERMANA, S.H. ","A-202 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SEMARANG ","1982-06-09 ","L ","ISLAM ","SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"203","MY ESTI WIJAYATI ","A-203 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SLEMAN ","1968-06-17 ","Perempuan ","","","Fraksi Partai Demokrasi Indonesia Perjuangan ","DI YOGYAKARTA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2021-06-21 10:49:08 "
"204","Drs. H. MOHAMMAD IDHAM SAMAWI ","A-204 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","YOGYAKARTA ","1960-06-22 ","Laki-Laki ","","","Fraksi Partai Demokrasi Indonesia Perjuangan ","DI YOGYAKARTA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2022-06-17 09:59:10 "
"205","PUTI GUNTUR SOEKARNO, S.IP ","A-205 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1971-06-26 ","P ","ISLAM ","SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"206","BAMBANG DH, M.Pd. ","A-206 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PACITAN ","1961-07-24 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"207","INDAH KURNIAWATI, S.E., M.M. ","A-207 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SURABAYA ","1962-08-11 ","P ","KRISTEN ","PASCA SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"208","dr. H. MUFTI A.N. ANAM ","A-208 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BANYUWANGI ","1987-12-24 ","L ","ISLAM ","SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"209","SONNY T. DANAPARAMITA ","A-209 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BANYUWANGI ","1974-08-31 ","L ","ISLAM ","SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"210","ARIF WIBOWO ","A-210 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","MADIUN ","1968-06-29 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"211","UMAR BASHOR ","A-211 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","LUMAJANG ","1966-07-10 ","L ","ISLAM ","SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"212","KRISDAYANTI ","A-212 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BATU ","1975-03-24 ","P ","ISLAM ","SLTA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"213","Dr. AHMAD BASARAH, S.H., M.H. ","A-213 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1968-06-16 ","Laki-Laki ","","","Fraksi Partai Demokrasi Indonesia Perjuangan ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-27 10:59:28 "
"214","Ir. ANDREAS EDDY SUSETYO, M.M. ","A-214 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","MALANG ","1960-03-22 ","L ","KATOLIK ","PASCA SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"215","GURUH SUKARNO PUTRA, S.AP. ","A-215 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1953-01-13 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"216","H. ARTERIA DAHLAN, S.T., S.H., M.H. ","A-216 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1975-07-07 ","Laki-Laki ","","","Fraksi Partai Demokrasi Indonesia Perjuangan ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2022-06-17 10:16:17 "
"217","Dra. SRI RAHAYU ","A-217 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","NGANJUK ","1960-12-03 ","P ","ISLAM ","SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"218","INA AMMANIA ","A-218 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SURABAYA ","1967-09-09 ","P ","ISLAM ","SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"219","JOHAN BUDI SAPTO PRIBOWO ","A-219 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","MOJOKERTO ","1966-01-29 ","L ","ISLAM ","SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"220","Ir. MINDO SIANIPAR ","A-220 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","TANJUNG BALAI ","1953-10-24 ","Laki-Laki ","","","Fraksi Partai Demokrasi Indonesia Perjuangan ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2021-06-21 10:49:39 "
"221","Hj. SADARESTUWATI, S.P., M.MA ","A-221 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JOMBANG ","1970-07-26 ","Perempuan ","Islam ","Pasca Sarjana ","Fraksi Partai Demokrasi Indonesia Perjuangan ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2021-04-13 14:26:31 "
"222","H. ABIDIN FIKRI, S.H., M.H. ","A-222 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PAGELARAN ","1970-09-22 ","Laki-Laki ","","","Fraksi Partai Demokrasi Indonesia Perjuangan ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2022-07-05 15:13:41 "
"223","H. NASYIRUL FALAH AMRU, S.E. ","A-223 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PONOROGO ","1975-01-27 ","L ","ISLAM ","SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"224","MH SAID ABDULLAH ","A-224 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SUMENEP ","1962-10-22 ","L ","ISLAM ","DIPLOMA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"225","MOCHAMAD HASBI ASYIDIKI JAYABAYA, S.H. ","A-225 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","LEBAK ","1984-10-10 ","L ","ISLAM ","SLTA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","BANTEN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"226","ICHSAN SOELISTIO ","A-226 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1954-02-14 ","L ","ISLAM ","SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","BANTEN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"227","RANO KARNO, S.IP. ","A-227 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1960-10-08 ","L ","ISLAM ","SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","BANTEN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"228","MARINUS GEA, S.E., M.AK ","A-228 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","GUNUNGSITOLI ","1973-01-06 ","Laki-Laki ","Protestan ","Pasca Sarjana ","Fraksi Partai Demokrasi Indonesia Perjuangan ","BANTEN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2021-04-13 14:24:01 "
"229","ST. ANANTA WAHANA, S.H. ","A-229 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SURAKARTA ","1966-04-28 ","L ","KATOLIK ","SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","BANTEN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"230","Drs. I MADE URIP, M.Si. ","A-230 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","TABANAN ","1959-12-31 ","L ","HINDU ","PASCA SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","BALI ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"231","I G. N. KESUMA KELAKAN, S.T, . M.Si ","A-231 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","DENPASAR ","1967-04-04 ","Laki-Laki ","","","Fraksi Partai Demokrasi Indonesia Perjuangan ","BALI ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2021-06-21 10:49:55 "
"232","I NYOMAN PARTA, S.H. ","A-232 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","GIANYAR ","1971-06-09 ","L ","HINDU ","SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","BALI ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"233","I WAYAN SUDIRTA, S.H. ","A-233 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","KARANG ASEM, BALI ","1950-12-20 ","L ","HINDU ","SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","BALI ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"234","I GUSTI AGUNG RAI WIRAJAYA, S.E., M.M. ","A-234 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","DENPASAR ","1965-12-16 ","L ","HINDU ","PASCA SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","BALI ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"235","I KETUT KARIYASA ADNYANA, S.P. ","A-235 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BULELENG ","1969-09-23 ","L ","HINDU ","SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","BALI ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"236","H. RACHMAT HIDAYAT, S.H. ","A-236 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","RUMBUK, LOMBOK TIMUR ","1952-11-28 ","Laki-Laki ","","","Fraksi Partai Demokrasi Indonesia Perjuangan ","NUSA TENGGARA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2022-01-24 11:12:59 "
"237","Dr. ANDREAS HUGO PAREIRA ","A-237 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","MAUMERE ","1964-05-31 ","Laki-Laki ","","","Fraksi Partai Demokrasi Indonesia Perjuangan ","NUSA TENGGARA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2021-06-21 10:50:09 "
"238","HERMAN HERRY ","A-238 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","ENDE ","1962-11-26 ","L ","KRISTEN ","SLTA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","NUSA TENGGARA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"239","YOHANIS FRANSISKUS LEMA, S.IP., M.SI ","A-239 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","KUPANG ","1976-03-27 ","L ","KATOLIK ","PASCA SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","NUSA TENGGARA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"240","Drs. CORNELIS, M.H. ","A-240 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SANGGAU ","1953-07-27 ","L ","KATOLIK ","PASCA SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","KALIMANTAN BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"241","MARIA LESTARI, S.Pd. ","A-241 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PONTIANAK ","1981-12-31 ","P ","KATOLIK ","SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","KALIMANTAN BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"242","LASARUS, S.Sos, M.Si. ","A-242 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PAUH DESA ","1970-06-15 ","L ","KATOLIK ","PASCA SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","KALIMANTAN BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"243","KRISANTUS KURNIAWAN, S.IP, M.Si. ","A-243 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","NANGA LAYUNG ","1969-06-03 ","L ","KATOLIK ","PASCA SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","KALIMANTAN BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"244","Dr. Ir. WILLY MIDEL YOSEPH, M.M. ","A-244 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","MURUNG RAYA ","1960-05-01 ","L ","KRISTEN ","DOKTOR ","Fraksi Partai Demokrasi Indonesia Perjuangan ","KALIMANTAN TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"245","H. AGUSTIAR SABRAN, S.Kom. ","A-245 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SAMPIT ","1972-12-17 ","L ","ISLAM ","SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","KALIMANTAN TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"246","H. M RIFQINIZAMY KARSAYUDA ","A-246 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","HULU SUNGAI TENGAH ","1982-11-06 ","L ","ISLAM ","SLTA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","KALIMANTAN SELATAN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"247","dr. H. SULAIMAN UMAR ","AA-247 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PAGATAN ","1982-04-16 ","L ","ISLAM ","SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","KALIMANTAN SELATAN ","anggota ","Tidak Aktif ","-0001-11-30 00:00:00 ","2022-06-16 05:53:18 "
"248","SYAFRUDDIN H. MAMING, S.Sos. ","AA-248 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PULAU BURUNG ","1977-01-06 ","L ","ISLAM ","SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","KALIMANTAN SELATAN ","anggota ","Tidak Aktif ","-0001-11-30 00:00:00 ","2022-06-16 05:52:39 "
"249","Irjen. Pol. (Purn.) Drs. H. SAFARUDDIN ","A-249 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","KAMPIRI ","1960-02-10 ","L ","ISLAM ","SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","KALIMANTAN TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"250","ISMAIL THOMAS, S.H, M.Si ","A-250 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","LINGGANG MELAPEH ","1955-01-31 ","L ","KATOLIK ","PASCA SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","KALIMANTAN TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"251","Ir. DEDDY YEVRI HANTERU SITORUS, M.A. ","A-251 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PEMATANG SIANTAR ","1970-11-17 ","L ","KATOLIK ","PASCA SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","KALIMANTAN UTARA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"252","Dra. ADRIANA CHARLOTTE DONDOKAMBEY, M.Si. ","A-252 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","MANADO ","1955-08-03 ","P ","KRISTEN ","PASCA SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","SULAWESI UTARA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"253","H. HERSON MAYULU, S.IP. ","A-253 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","GORONTALO ","1959-10-17 ","L ","ISLAM ","SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","SULAWESI UTARA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"254","VANDA SARUNDAJANG, S.S. ","A-254 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","MANADO ","1974-08-11 ","P ","KRISTEN ","SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","SULAWESI UTARA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"255","MATINDAS J RUMAMBI, S.Sos. ","A-255 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","MALANG ","1966-04-30 ","L ","KRISTEN ","SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","SULAWESI TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"256","H. RIDWAN ANDI WITTIRI, S.H. ","A-256 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SOPPENG ","1962-12-15 ","Laki-Laki ","","","Fraksi Partai Demokrasi Indonesia Perjuangan ","SULAWESI SELATAN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2021-01-27 19:24:41 "
"257","Drs. H. SAMSU NIANG, M.Pd. ","A-257 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PISING ","1964-02-16 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","SULAWESI SELATAN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2021-03-31 07:49:57 "
"258","SARCE BANDASO TANDIASIK, S.H. ","A-258 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PALOPO ","1968-09-28 ","P ","KRISTEN ","SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","SULAWESI SELATAN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"259","Ir. HUGUA ","A-259 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","USUKU TOMIA ","1961-12-31 ","L ","ISLAM ","SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","SULAWESI TENGGARA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"260","H. ARWAN M. ARAS T, S. Kom. ","A-260 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","TOBADAK ","1984-09-08 ","L ","ISLAM ","SARJANA ","Fraksi Partai Demokrasi Indonesia Perjuangan ","SULAWESI BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"261","MERCY CHRIESTY BARENDS, S.T. ","A-261 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","AMBON ","1972-12-25 ","Perempuan ","","","Fraksi Partai Demokrasi Indonesia Perjuangan ","MALUKU ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2022-06-17 09:16:17 "
